,CoinName,0,1,class
0,42 Coin,4.8477683,11.9122095,1
1,404Coin,8.758731,14.202347,1
2,EliteCoin,14.923926,21.417624,1
6,Dash,-4.2333546,10.376949,1
15,KoboCoin,4.2061086,20.010405,1
18,Aurora Coin,5.7682014,13.533519,1
19,BlueCoin,8.1367235,15.317951,1
25,EnergyCoin,5.2095146,16.198332,1
26,QuarkCoin,-4.221489,23.487127,1
27,Riecoin,10.245454,5.2781835,1
29,BitBar,4.8736773,11.921469,1
31,CryptoBullion,4.4475794,12.335302,1
35,Diamond,10.234541,5.3671336,1
49,HoboNickels,5.8063436,16.126503,1
52,IOCoin,-4.585666,11.0477295,1
57,MaxCoin,5.881128,9.546013,1
64,NavCoin,15.104085,22.14316,1
68,OpalCoin,14.747264,22.278255,1
70,PotCoin,7.6239176,15.526074,1
71,PhoenixCoin,5.401082,16.063646,1
72,Reddcoin,7.726561,11.694596,1
77,SyncCoin,-5.22356,10.926438,1
81,TittieCoin,1.3213382,17.841637,1
82,TorCoin,-4.5043263,10.331579,1
87,UnitaryStatus Dollar,8.726811,13.831865,1
88,UltraCoin,5.023496,15.832522,1
93,X11 Coin,-5.222708,11.398184,1
96,StealthCoin,14.750036,22.276447,1
97,ZCC Coin,8.112862,14.989052,1
104,FairCoin,10.234541,5.367133,1
108,Kore,14.746735,22.278643,1
112,8BIT Coin,4.516909,12.248003,1
113,Sativa Coin,14.747132,22.278357,1
120,Vtorrent,5.7059035,13.2475815,1
126,IslaCoin,-5.158803,10.691803,1
127,Nexus,5.8866467,9.361373,1
131,Droidz,2.20221,13.542527,1
133,Squall Coin,-2.3388216,6.3590236,1
138,Paycon,15.1040945,22.143196,1
141,EverGreenCoin,4.2061076,20.010403,1
144,Decred,5.8945637,6.109072,1
148,Hitcoin,-2.5316067,13.024012,1
152,PWR Coin,14.346188,11.560368,1
153,BillaryCoin,5.5292897,13.869492,1
159,EuropeCoin,-3.316977,11.220707,1
166,Ratecoin,-3.8713615,11.900501,1
169,VIP Tokens,14.34704,11.55897,1
170,BitSend,-3.9210913,11.249101,1
173,PutinCoin,8.728079,13.839275,1
174,iBankCoin,5.107879,13.709145,1
175,Frankywillcoin,5.7858295,16.145905,1
176,MudraCoin,15.30635,23.130875,1
180,GoldBlocks,-4.4946995,11.425419,1
181,CarterCoin,4.8188963,15.609206,1
185,MustangCoin,-4.9523683,10.500512,1
186,ZoneCoin,5.253774,12.836296,1
188,RootCoin,4.424848,12.391274,1
194,BuzzCoin,8.521067,19.256311,1
196,PesoBit,5.841049,13.811992,1
197,Halloween Coin,-2.152682,12.375508,1
200,RoyalCoin,15.306334,23.130934,1
201,GanjaCoin V2,2.5201824,15.263904,1
203,LanaCoin,8.5210495,19.256315,1
207,InsaneCoin,-4.82759,11.697808,1
210,EmberCoin,14.987118,21.810738,1
211,XenixCoin,-5.2615848,11.094855,1
213,PLNCoin,5.458342,14.103735,1
214,AquariusCoin,5.0686455,13.555894,1
217,Eternity,-4.5681186,11.918018,1
219,BitcoinFast,5.4934664,14.096625,1
221,BitConnect Coin,5.2858787,13.543799,1
222,MoneyCoin,7.3886776,15.642235,1
223,Enigma,-4.786056,10.393675,1
225,Russiacoin,4.765451,15.582908,1
227,GameUnits,4.7817936,12.832829,1
228,GAKHcoin,5.3681474,12.1852255,1
229,Allsafe,-4.667488,23.066273,1
234,Klingon Empire Darsek,7.084876,15.805147,1
236,KushCoin,-5.2111936,11.469188,1
237,Printerium,5.7103944,13.260776,1
239,Impeach,5.5687532,12.640111,1
244,FindCoin,15.306336,23.130926,1
247,OpenChat,8.768673,14.038689,1
252,VirtacoinPlus,-3.777208,10.688233,1
253,TajCoin,2.2911236,11.77312,1
254,Impact,-3.817578,11.739419,1
257,HappyCoin,-3.7894344,10.804769,1
258,Coinonat,14.681658,11.285416,1
260,Condensate,-2.8130808,11.451514,1
261,Independent Money System,5.6297936,12.896123,1
262,ArgusCoin,5.635875,12.912432,1
263,LomoCoin,7.877337,15.144554,1
265,GoldReserve,-4.693536,11.8993225,1
270,Degas Coin,4.6706796,15.335539,1
271,HTML5 Coin,4.206154,20.0102,1
276,Espers,5.6101036,13.584614,1
281,Denarius,14.347117,11.558926,1
283,Virta Unique Coin,14.346908,11.559988,1
284,Bitcoin Planet,0.5457995,15.264211,1
286,BritCoin,14.751487,22.275455,1
290,Linda,7.618574,11.543687,1
292,DeepOnion,14.750333,22.276257,1
295,SmartCash,2.9905622,3.3900428,1
298,Cream,0.54548365,15.263843,1
300,Monoeci,-4.720801,10.87647,1
310,CoinonatX,5.154734,14.345537,1
311,Ethereum Dark,5.4330025,12.296536,1
315,Regalcoin,-4.9147987,11.830041,1
319,TerraNovaCoin,4.7336807,12.820348,1
323,WomenCoin,7.3580894,11.102457,1
325,NamoCoin,14.346886,11.559983,1
